"code","canonicalCode","displayCode","sourceMeaningEn","normalizedMeaningDraftRu","categoryCandidate","sourceManualId","sourceManualTitle","sourceDocument","sourcePath","sourceSection","sourcePage","sourceContext","confidence","alreadyInGmv6Runtime","existingRuntimePath","actionRecommendation","reason"
"CJ","CJ","CJ","Address DIP switch code of system is shocking","Already covered in GMV6 runtime before ED-24GEC.13A","debugging","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/cj.json","already-covered","Existing GMV6 runtime card retained."
"CL","CL","CL","The matching ratio of rated capacity for IDU and ODU is too low","Already covered in GMV6 runtime before ED-24GEC.13A","debugging","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/cl.json","already-covered","Existing GMV6 runtime card retained."
"Cn","CN","Cn","Malfunction of network for IDU and ODU of mode exchanger","Already covered in GMV6 runtime before ED-24GEC.13A","debugging","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/cn.json","already-covered","Existing GMV6 runtime card retained."
"CP","CP","CP","Malfunction of multiple wired controller","Already covered in GMV6 runtime before ED-24GEC.13A","debugging","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/cp.json","already-covered","Existing GMV6 runtime card retained."
"CU","CU","CU","Communication malfunction between IDU and the receiving lamp","Already covered in GMV6 runtime before ED-24GEC.13A","debugging","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/cu.json","already-covered","Existing GMV6 runtime card retained."
"Cy","CY","Cy","Communication malfunction of mode exchanger","Already covered in GMV6 runtime before ED-24GEC.13A","debugging","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/cy.json","already-covered","Existing GMV6 runtime card retained."
"d1","D1","d1","Indoor PCB is poor","Already covered in GMV6 runtime before ED-24GEC.13A","indoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/d1.json","already-covered","Existing GMV6 runtime card retained."
"d2","D2","d2","Malfunction of lower water temperature sensor of water tank","Already covered in GMV6 runtime before ED-24GEC.13A","indoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/d2.json","already-covered","Existing GMV6 runtime card retained."
"d3","D3","d3","Malfunction of ambient temperature sensor","Already covered in GMV6 runtime before ED-24GEC.13A","indoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/d3.json","already-covered","Existing GMV6 runtime card retained."
"d4","D4","d4","Malfunction of entry-tube temperature sensor","Already covered in GMV6 runtime before ED-24GEC.13A","indoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/d4.json","already-covered","Existing GMV6 runtime card retained."
"d5","D5","d5","Malfunction of mid-tube temperature sensor","Already covered in GMV6 runtime before ED-24GEC.13A","indoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/d5.json","already-covered","Existing GMV6 runtime card retained."
"d6","D6","d6","Malfunction of exit-tube temperature sensor","Already covered in GMV6 runtime before ED-24GEC.13A","indoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/d6.json","already-covered","Existing GMV6 runtime card retained."
"d7","D7","d7","Malfunction of humidity sensor","Already covered in GMV6 runtime before ED-24GEC.13A","indoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/d7.json","already-covered","Existing GMV6 runtime card retained."
"d8","D8","d8","Malfunction of water temperature sensor","Already covered in GMV6 runtime before ED-24GEC.13A","indoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/d8.json","already-covered","Existing GMV6 runtime card retained."
"d9","D9","d9","Malfunction of jumper cap","Already covered in GMV6 runtime before ED-24GEC.13A","indoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/d9.json","already-covered","Existing GMV6 runtime card retained."
"dA","DA","dA","Web address of IDU is abnormal","Already covered in GMV6 runtime before ED-24GEC.13A","indoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/da.json","already-covered","Existing GMV6 runtime card retained."
"db","DB","db","Debugging status","Already covered in GMV6 runtime before ED-24GEC.13A","indoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/db.json","already-covered","Existing GMV6 runtime card retained."
"dC","DC","dC","Setting capacity of DIP switch code is abnormal","Already covered in GMV6 runtime before ED-24GEC.13A","indoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/dc.json","already-covered","Existing GMV6 runtime card retained."
"dd","DD","dd","Malfunction of solar power temperature sensor","Already covered in GMV6 runtime before ED-24GEC.13A","indoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/dd.json","already-covered","Existing GMV6 runtime card retained."
"dE","DE","dE","Malfunction of indoor CO2 sensor","Already covered in GMV6 runtime before ED-24GEC.13A","indoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/de.json","already-covered","Existing GMV6 runtime card retained."
"dF","DF","dF","Malfunction of upper water temperature sensor of water tank","Already covered in GMV6 runtime before ED-24GEC.13A","indoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/df.json","already-covered","Existing GMV6 runtime card retained."
"dH","DH","dH","PCB of wired controller is abnormal","Already covered in GMV6 runtime before ED-24GEC.13A","indoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/dh.json","already-covered","Existing GMV6 runtime card retained."
"dJ","DJ","dJ","Malfunction of backwater temperature sensor","Already covered in GMV6 runtime before ED-24GEC.13A","indoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/dj.json","already-covered","Existing GMV6 runtime card retained."
"dL","DL","dL","Malfunction of air outlet temperature sensor","Already covered in GMV6 runtime before ED-24GEC.13A","indoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/dl.json","already-covered","Existing GMV6 runtime card retained."
"dn","DN","dn","Malfunction of swing parts","Already covered in GMV6 runtime before ED-24GEC.13A","indoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/dn.json","already-covered","Existing GMV6 runtime card retained."
"dP","DP","dP","Malfunction of inlet tube temperature sensor of generator","Already covered in GMV6 runtime before ED-24GEC.13A","indoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/dp.json","already-covered","Existing GMV6 runtime card retained."
"dU","DU","dU","Malfunction of drainage pipe temperature sensor of generator","Already covered in GMV6 runtime before ED-24GEC.13A","indoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/du.json","already-covered","Existing GMV6 runtime card retained."
"dy","DY","dy","Malfunction of water temperature sensor","Already covered in GMV6 runtime before ED-24GEC.13A","indoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/dy.json","already-covered","Existing GMV6 runtime card retained."
"E0","E0","E0","Malfunction of ODU","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/e0.json","already-covered","Existing GMV6 runtime card retained."
"E1","E1","E1","High-pressure protection","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/e1.json","already-covered","Existing GMV6 runtime card retained."
"E2","E2","E2","Discharge low-temperature protection","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/e2.json","already-covered","Existing GMV6 runtime card retained."
"E3","E3","E3","Low-pressure protection","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/e3.json","already-covered","Existing GMV6 runtime card retained."
"E4","E4","E4","High discharge temperature protection of compressor","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/e4.json","already-covered","Existing GMV6 runtime card retained."
"Ed","ED","Ed","Drive IPM low temperature protection","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/ed.json","already-covered","Existing GMV6 runtime card retained."
"F0","F0","F0","Main board of ODU is poor","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/f0.json","already-covered","Existing GMV6 runtime card retained."
"F1","F1","F1","Malfunction of high-pressure sensor","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/f1.json","already-covered","Existing GMV6 runtime card retained."
"F3","F3","F3","Malfunction of low-pressure sensor","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/f3.json","already-covered","Existing GMV6 runtime card retained."
"F5","F5","F5","Malfunction of discharge temperature sensor of compressor 1","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/f5.json","already-covered","Existing GMV6 runtime card retained."
"F6","F6","F6","Malfunction of discharge temperature sensor of compressor 2","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/f6.json","already-covered","Existing GMV6 runtime card retained."
"F7","F7","F7","Malfunction of discharge temperature sensor of compressor 3","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/f7.json","already-covered","Existing GMV6 runtime card retained."
"F8","F8","F8","Malfunction of discharge temperature sensor of compressor 4","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/f8.json","already-covered","Existing GMV6 runtime card retained."
"F9","F9","F9","Malfunction of discharge temperature sensor of compressor 5","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/f9.json","already-covered","Existing GMV6 runtime card retained."
"FA","FA","FA","Malfunction of discharge temperature sensor of compressor 6","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/fa.json","already-covered","Existing GMV6 runtime card retained."
"Fb","FB","Fb","Malfunction of casing top temperature sensor of compressor 2","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/fb.json","already-covered","Existing GMV6 runtime card retained."
"FC","FC","FC","Current sensor of compressor 2 is abnormal","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/fc.json","already-covered","Existing GMV6 runtime card retained."
"Fd","FD","Fd","Malfunction of exit tube temperature sensor of mode exchanger","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/fd.json","already-covered","Existing GMV6 runtime card retained."
"FE","FE","FE","Current sensor of compressor 4 is abnormal","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/fe.json","already-covered","Existing GMV6 runtime card retained."
"FF","FF","FF","Current sensor of compressor 5 is abnormal","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/ff.json","already-covered","Existing GMV6 runtime card retained."
"FH","FH","FH","Abnormal Current Sensor of Compressor 1","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/fh.json","already-covered","Existing GMV6 runtime card retained."
"FJ","FJ","FJ","Current sensor of compressor 6 is abnormal","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/fj.json","already-covered","Existing GMV6 runtime card retained."
"FL","FL","FL","Current sensor of compressor 3 is abnormal","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/fl.json","already-covered","Existing GMV6 runtime card retained."
"Fn","FN","Fn","Malfunction of inlet tube temperature sensor of mode exchanger","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/fn.json","already-covered","Existing GMV6 runtime card retained."
"FP","FP","FP","Malfunction of DC motor","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/fp.json","already-covered","Existing GMV6 runtime card retained."
"FU","FU","FU","Malfunction of casing top temperature sensor of compressor 1","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/fu.json","already-covered","Existing GMV6 runtime card retained."
"G0","G0","G0","PV reversed connection protection","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/g0.json","already-covered","Existing GMV6 runtime card retained."
